label,Post_Preprocessed_Comments
negative,pak prabowo dukung bapak kecewa berat sama bapak kalau bapak berani usut korupsi dinasti jokowi
negative,pak prabowo jokowi luhut yg tanggung jawab
negative,ini pandang anggota dpr bangga kereta cepat walaupun lilit hutang tahu bisnis kalimat mau sampai jangan pakai istilah kaya jalan miskin rumah
negative,nama jokowi selalu kenang presiden paling korup dunia contoh presiden usak konstitusi presiden pro didik tinggi presiden bangun kuat cipta rakyat sendiri buat rakyat buat nama termul dana asal korupsi laku genster solo organisir masif perintah pak prabowo segera audit jokowi kroni sita harta2 hasil korupsi guna negara
negative,dpr bukan orang pikir ekonomi yg pikir only subsidi utang
positive,kalau bkn jakarta bandung trus kan surabaya malang bila perlu bal karna makin jauh jalan semkin ramai rakyat perlu bkn mau jarta bandung suda yg mau bbali malang nya
positive,whos makin panjang jalan nyasemakin muda bayar nya mungkin orang mau sura baya malang yg peluk
negative,justru rakyat khawatir kalau dpr ri ikut campur krn rakyat percaya dpr ri
positive,keruk tambang bayar lunas selesai
negative,prabowo jelas2 sangat lindung jokowi sang mentor
negative,bangga selera tinggi ekonomi rendah
neutral,cara beres cpet sbnernya hitung total hutang hitung pasu bagai sktor pajak lalu hitung berpa kepla anggota dewan berpa dana gajih anggota dewan lalu kikis dana dana lai ubtuk angota dewan cukup kasih gajih pokok uang mkan jabat wajar penambhan kas negara tambah bayar hutang cepat yakin klo tanya anggota dewan kalian pngen hutang indonesia segera beres 0 jwabnya tingall mau gaa korban 1 tahun beres mungkin
negative,stakeholder ngaco bikin2 doang klo g benefit malah defisit malah bangun
neutral,bukang seluru indonesia naik pak
negative,enak aja suruh bayar pake duit rakyat
negative,siapa utang tanggung jawa
negative,ulah siapa
negative,buat bayar uang rakyat
positive,whoos simbul maju negara yg bangga negara
negative,siapa yg mau bayar smpi 70 tahun
negative,pergi tinggal bnyak utang
negative,stasiun tv skrang tum mkin ngk jelas skrang terlalu banyak tampung gosip bukan mmbrita kn hal2 yg justru politis fgur orang kejar reting stasiun nya jadi basi berita basi sma dgan sinetron berita skaran ngk ad benar nya
neutral,beres kan bukan lunas arti siapa libat dalm kejangalan beres kan
negative,apa kerta cepat kalau hutang negara makin gunung umpama sbg rumah tangga ukur dapat keluar kalau lebih besar keluar bangkrut
negative,komentar buzzer semua bodoo
negative,plin plan
negative,tdk anggap biasa hrs tahu masyarakat b to b g to g
negative,pembanguna negara terlalu campur politik runyam nanti kapan maju megara orang politik selalu penting politik nya
neutral,ojo kemajon gebuk das occrp
negative,luhut cs suruh bayar utang pak
negative,maju das mul termul besi karat rongsok barang bekas whoosh mangkrak rusak mesin whoosh whoosh impor koruptor pesta
negative,suruh jokowi termul bayar hutang gua dunia akhirat gak rela pajak gua biat bayar hutang whooosh gua allah gak bakal naik whooosh kapan masuk anak turun gua cam woe koruptod dpr tod jokontod termuntod
negative,whoosh manja koruptor occrp rakyat miskin naik becak biar ekonomi receh putar
negative,lantik persiden mau ikn m mooh emang ikn ibu kota negara apa ikn rekayasa termul occrp kota hantu
positive,semua orang berani naik pesawat harap moga ka cepat jakarta surabaya segera wujud
negative,indonesia depan selalu susah kalau perintah nya begini cara pikir perintah aja laku hal2 sifat nya gaya gaya bukan desak akhir susah rakyat punya mampu bayar gimana mau rakyat kecil bangkit miskin
neutral,hutang whoosh potong bunga bank biar masuk akal
positive,lanjut kalimantan baru luar biasa biar semua nikmat hasil pajak
neutral,tahan kan banyak pak buat apa segitiga banyak pak
neutral,masalah apa benar
negative,ayo beres beres korupsi biar kereta cpt bayar dt uang korupsi jgn pakai apbn cpt uu ampas aset koruptor sah psti beres utang kereta cpt tp bayar lambat
negative,tdk lgsung rakyat minta maaf yg sdh korupsi
negative,jangan setal tiga uang mantanny harap perintah pihak rakyat koruptor sll lindung allahu akbar m
neutral,baik investasi kereta api pulau sumatera kalimantan sulawesi pulau 2 lai shg beban transportasi orang barang lebih jangkau antar daerah indonesia lebih byk rasa masyarakat tengah bawah
negative,kalau gak usut gak beda siapa presiden
negative,jangan jangan cina negosiasi minta ganti salah satu pulau indonesia
neutral,gaji anggota dewan nyicil kayak cukup
positive,aman jokowi ikut prabowo sdh turun tangan cari jalan keluar utang whoosh
negative,karna 1 makhluk yg keluar gorong2 260 juta rakyat indonesia tanggung utang s lama 60 tahun
negative,beres dulu korupsi gelembung dana bangun biar gak ecek2 jabat yg yg punya niat yg sama kedok tranportasi massal tp dana gak masuk akal
negative,bahas jg hutang negara pd rakyat yg tera dlm konstitusi yg semenjak merdeka blm lunas 1 lindung segenap bangsa indonesia seluruh tumpah darah indonesia realitanya jabat elit duit yg lindung baik hukum ekonomi 2 maju sejahtera umum realitanya anggota dpr jabat negara yg kesejateraannya selalu alami maju 3 cerdas hidup bangsa realitanya perintah malah bodoh rakyat dg tdk ada transparansi dlm hal2 tentu didik tk sepenuh gapai rakyat kapan hutang lunas wahai kuasa negeri
negative,suruh jokowi sama luhut bayar jadi biang kerok atas utang ri makin gunung utama si jokowi dar jago ngutang gak punya solusi buat nyelesaiinnya
negative,rncana whoosh smpe surabaya tp ngutang besar mau cari nama proyek gagah2an tp ngutang lebih baik urus rakyat sana sini bnyak sekali yng hidup kesusahn parkir miskin anak lantar blm yerurus dngn baik sdh jd kebiasaansetiap proyek besar sellu korupsi
negative,proyek scam jelas jabat semua omong kosong semua rusak negara pimpin jabat model macem mau kapan indonesia begibi terus
negative,biar aja biar tarik leasing klo leasing ambil pulau war
neutral,rak yat cerdas biar negara tak punya hutang kurupsi tak
negative,termul asu
negative,bikin sakit nya jokowi luhut yg obat nya prabowo purbaya
negative,ulang salah buat kereta cepat jkt to bdg benar perlu bukan bangga bangsa kala mau jujur lebih bagus buat rencana program kereta sumatera aceh lampung kereta trans sulawesi kereta trans kalimantan kereta trans papua ambisi penting rakyat indonesia ingat sumatera kalimantan sulawesi papua semua bagi rakyat indonesia bukan apa apa bangun kereta cepat jakarta to bandung
negative,kalah sama geng solo
positive,miris mmbatal kan kereta cepat lihat kereta cepat maju
positive,jangan pandang bulu he pak prabowo jangan takut tegas kalo mau jadi pimpin rakyat
negative,byakan saling lempar tanggung jawab yg penting cepat bayar karna udh jadi usut unsur korupsi ato tdk perintah pak prabowo tegas jgn lempar tuk tim khusus kcc
negative,rak yat jangan buat beban bertindakrpikir dulu he sikurang ajar sijokodok emang kurang ajar
negative,makanya usut jangan diam
negative,dpr kayak ambisi sekali lanjut proyek kereta cepat jangan jangan dpr terima suap jokowi masa jabat presiden
neutral,dah dibreskan mulai awal kalau perlu habis dibereskann jual shoopy marketplace
negative,pak purbaya jangan mau bayar kcic urus jokowi luhut binsar penjaitan akal akal jokwi luhut binsar penjaitan lebih baik kembali whoos cina suruh angkaat kereta cepat nya iru buat bayar proyek gelembung biaya korupsi jokowi fan luhut binsar jahit
negative,bayar aja pake uang rakyat enak aja kalian
positive,betul segera lunas jgn lebih 10thn selesai sgt brbahaya
neutral,udh kasih aja china trus china yg kelola sampe berapa puluh tahun selesai
negative,mulyono luhut et yg bayar jng beban uang rakyat
negative,wooshh woosh wuzz bablas duite ulah raja jawa yg kaya tambah jaya yg miskin tambah sengsara tanggung jawab suara rakyat bawah
negative,kalian dpr ri menteri jabat bumn korban kan gaji tahun utk bayar utang woosh bantu jokowi
neutral,yg nanggung kan dua belah pihak usaha cina indonesia
neutral,berani gk cukup bung kl sedia dr mampu
neutral,sama kayak minta apa ak cocok jd presiden
negative,jelas mark up lingkung perintah jokowi usut krn sangkut daulat bangsa negara
negative,utang whoose jgn dibayr rakyat gak makmur2
negative,c mulyono yg berani ngutang jg lah yg bayar
negative,e jokowi penjara gara2 nyata nya kalo gak ambil untung rugi gitu serah pt bumn kan undang undang bumn gak rugi
positive,sangat harap segera wujud yg jkt sby
negative,beres sutradara kereta china pak wowo
negative,tanda2 prabowo mulai takut gertak jokowi termul
negative,bikin ribet generasi terus aja pak pak kalau dunia bikin ribet gimana akhirat taubat taubat ajal minta maaf lah rakyat ingat generasi kalian yg rasa
negative,firnando bangga terus whoosh rakyat derita kampung mesti lihat pikir orang kaya utang utang korupsi whoosh rakyat perluh
neutral,presiden prabowo tugas tim inti diri purbaya yudhi sadewa menteri uang airlangga hartarto menteri koordinator bidang ekonomi ros roeslani ceo pt danantara investasi indonesia belum jabat wakil menteri bumn tuju utama selesai masalah utang timbul gejolak ekonomi negara pasti proyek strategis nasional tetap lanjut penting beban anggar dapat belanja negara apbn waktu perintah perintah sampai rapat batas ratas istana presiden akhir oktober 2025
negative,bpk luhut mana gk keluar suara
negative,utang k c serah bekas precident jahit sri mulyono tri hubung yg kemarin kapolri yg kuasa 2 periode rakyat jatim gak butuh kc uda kapal terbang bis patas trevel gojek
negative,hhhhhh ngapain pusing pak suruh puja nya aja bayar patungan hahahaha
negative,gak ajar transportasi umum yg udah udah memang ada kereta cepat mana nyampe jakartapun public bakal naik kereta cepat gitu kurang macet kan statement jokowi kereta cepat buat kurang macet kan yg udh jadi puluh tahun trus busway macet kurang malah nambah jadi jadi kan masyarakat lebih senang pakai kendara pribadi krn nilai lebih cepat lebih irit waktu tenaga sial nya malah buat jalan jabodetabek jadi padat lah kereta cepat yg harga tiket nya ratus ribu orang kalang miskin tengah mana yg mw naik malah susah masyarakat negara akhir murni proyek ambisius sih hitung yg gak matang sama sekali bearti tanggap nya kalo ambisius yaahhh well public skrg udah banyak yg smart tau kalo bukan bisnis china yg sebab yg gak ingin cukup sekian wkwkwk
neutral,makanya gak usah rame rek rek wis to opo jare cak presiden ae gitu kok angel
negative,korupsi hutang sekarang yg ramai bicara indonesia kaya harta jabat nya bnyak korup
negative,mmg slesaikan si laku hutang tsb bukan tiba lempar tanggung jwb pindah mandat presiden yg baru jabat slesaikan jokowi habis masa jabat
positive,buat rakyat buat maju masa gk bayar kelola donk klo bs bagun semua kereta cepat negara baru mantap
negative,anwar ibrahim mahatir tertawa akhir kena batu
negative,benar sekak kata pak purbaya suruh tanggung jawab punya id putus fie ambil putus usut dulu jangan rakyat suruh bayar utang
negative,ujung tetep rakyat yg suruh membyar hutang
negative,luhut jokowi sdh kongkalikong lah periksa
neutral,mahfud md mana paham prosedur nya
negative,luhut sama anggota dpr ri tanggung jawab perintah jangan ikut campur
neutral,resin gpp jgn pakek uang rakyat apbn
negative,bubar dpr bayar hutang dpr beban negara
negative,warga negara yg luar jakarta jawa ikut2an whoosh krn nikmat nya
positive,bijak tegas amanah istikomah perlu tri
positive,luarbiasa pak jokowi hasil lobi cina utk proyek ka cepat wooossshhh dg sistim b2b arti dg modal 60 punya ka cepat tehnologi tinggi dunia
negative,menteri ekonomi cerdas orang ekonom jenius pak ikhsanudin noorsy tak panggil presiden beliau sangat jenius jujur amanah ilmu sangat mumpuni erlangga cerdas minim ilmu cuma tum golkar dulu abrorry adams lampung
positive,kereta cepat whoosh capai projek teknologi canggih sukses bangun indonesia sama sama partner cina sukses harus jadi semangat capai lebih potensi maju bukan balik jadi patah arang kaji baik bagaimana optimal fasiitas bangun capai produktifitas harap misal program program promo wisata edu lihat india vietnam thailand selesai projek jenis baik
positive,mantaaafff mas wahyu jawab sangat optimis ka wooossshhh anak muda indonesia yg wawancara wartawan ditengah2 ramai stasiun ka
negative,ujuian kpk kalau kpk mampu selesai kasus mending aha kpk
positive,insyaallah kelak ikn whoosh jadi bangga bangsa indonesia depan whoosh bagi infrastruktur modern transfer tehnologi yg ilmu pakai pt kai mbuat kereta2 cepat ikut infrastruktur whoosh buka titik titik pusat ekonomi baru yg lewat pimpin visi depan tertawa para2 takut indonesia bayar tak mau jabat yg korup
positive,uu prampasan aset koruptor segera syah kan dpr kalau dpr gak mau perintah mwngeluarkan perppu prampasan aset koruptor indonesia makmur
negative,lihat video anggota dpr pihak rakyat kecil
positive,luarbiasa pak jokowi buat indonesia maju tinggal rakyat sesuai dg cara kurang pakai kendara pribadi hari dunia negara maju rakyat pakai kendara umum
neutral,jokowi prabowo duduk satu meja biar mrk bicara hati hati klo dpr bicara kiamat percuma krn mrk tdk punya wewenang apa
negative,patut ingat indonesia bukan dri bandung smpe surabaya ingat hutang nya siaoa yg bayar dri sabang smpe marauke
negative,srh resin pak mulyono luhut termul aj
neutral,jelas perintah siapa
negative,yg rasa rakyat jawa bukan rakyat indonesia
negative,syukur kalian dijawa banyak bangun infrastruktur ketimbag didearh kuhususnya wilayah timur jalan dipropensi sj bgitu banyak hancur makan korban
negative,maaf bang arthor bukan berani perintah tolol mulyono udah tau pakar ga tuju hitung2 bakal rugi malah maksa citra
positive,kalau bangsa selalu takut lang lama nya pernah jadi bangsa maju kalau selalu saling salah atas langkah ambil pimpin berani ambil putus jangan lah jadi bangsa kecut coba perhati sejak gusdur sby apa capai gak semua sibuk politik semua ja im
neutral,pak purbaya hrs sikap tegas ttp tolak utk bayar hutang whoos guna uang apbn harap rakyat cuma pak
negative,kereta cepat jkt bandung atau jkt surabaya banyuwangi semua feasible harus jkt bandung pernah potensi marketnya lebih sedikit vs surabaya banyuwangi jarak jkt bandung terlalu pendek capex opex nya sangat mahal per km nya prioritas 1 selesai problem jkt bandung pikir utk extend surabaya buat beban debt makin besar 2 kpk usut selidik mark up kereta cepat sungguh terlalu mahal bench mark kereta cepat arab saudi jarak 1500 km lebih kecil biaya investasi banding kereta cepat jktbandung
negative,kan jokowi kantong punya 11000 trilyun waktu pidato harus 112t kecil lah jokowi seret dah tuh yg kmrin yg mutusin
negative,ganti nama aja jadi buhs arti nggedebuhs
negative,dpr kerja rakyat kerja sesuai isi perut bos partai mana awas
negative,tangkap dulu main mark up duit2 anggar
positive,hikmah
negative,dpr lupa kalau punya pr uu ampas aset apa nunggu rakyat turun jgn pura2 amnesia kalau perintah remeh aspirasi masyarakat hati2 bom waktu lebih dahsyat
negative,kasihan persiden pak prabowo jadi sasar buat beres utang akibat ulah mantan presiden tak punya hitung haya mikirin kuasa duduk nya
negative,waktu jadi presiden nyusahin rakyat pas jadi rakyat nyusahin presiden hadeuh
negative,ayo yg pernah pilih mulyono urun lunasin woossh monggoo
negative,kalu jalan sampe surabaya nambah hutang nya bagaimana masyarakat gak kuwait kalu dpr penting golong partai gak wakil rakyat
negative,beres pake apa bos klau bukan rakyat yg korban segala macem naik maknya jadi pimpin bicara nya jngn luar mampu yg masuk akal aja kompanyenya
negative,macan jadi kucing piara
negative,usut tu proyek anis bikin gorong gorong tp mas banjir suruh bayar abis tu masuk sama2 program gagal dampak banyak anggur jadi asal jepathidup gembellll
neutral,cari dana korupsi sita buat bayar kereta cepat
neutral,bayar usut dulu tindak korupsi
negative,akibat rezim jokowi cs numpuk utang negara
negative,proses jokowi luhut
negative,betul yg tanggung jawab jokowi luhut program dua
negative,rampas aja rumah dinas solo lelang nutupi utang whoosh
negative,sekarang log biar tekor asal sohor nasionalisasi bukan cuma milik warga tentu
negative,klo gak mau negara ngutang lg transportasi pkek kuda biar negara gak ngutang
negative,banyak proyek ga jelas jokowi nya ngutang dana ga ikn ga jelas masa depan nya bikin bandara majalengka ga tumpang nyawiwi bikin proyek ga pake riset dulu gimana mau aja tri nya penting rekening buncit
negative,jangan harap wong cilik naik whose makan aja susah
negative,korup kcic kejar dong joklut kejar tuh kenyang dpt duit nya awat kosnya mahal kereta whoss blm untung makin lama barang rusak apa cuma pamer tp rugi panjang masa mending naik bromo murah cepat
negative,jkw tertawa
negative,sita dulu hrta2 jokowi
neutral,sdh dpt tekan dr perintah china
negative,tinggal mulyono bikin mumet alih alih bikin kreta cepat lebih bagus meng aktif jalur mati bangun jalur kreta api barus seluruh plosok negri
negative,termul aaassssuuu
negative,jokowi sama luhut suruh bayar
